Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1712415600;06.04.2024 18:00;60,09
1712419200;06.04.2024 19:00;95,57
1712422800;06.04.2024 20:00;116,52
1712426400;06.04.2024 21:00;117,87
1712430000;06.04.2024 22:00;111,86
1712433600;06.04.2024 23:00;94,89
1712437200;07.04.2024 00:00;78,92
1712440800;07.04.2024 01:00;11,3
1712444400;07.04.2024 02:00;0,17
1712448000;07.04.2024 03:00;0,16
1712451600;07.04.2024 04:00;0,51
1712455200;07.04.2024 05:00;0,2
1712458800;07.04.2024 06:00;0,16
1712462400;07.04.2024 07:00;0,18
1712466000;07.04.2024 08:00;0,17
1712469600;07.04.2024 09:00;0,2
1712473200;07.04.2024 10:00;0,14
1712476800;07.04.2024 11:00;-0,03
1712480400;07.04.2024 12:00;-2,01
1712484000;07.04.2024 13:00;-0,02
1712487600;07.04.2024 14:00;-6,55
1712491200;07.04.2024 15:00;-10
1712494800;07.04.2024 16:00;-5
1712498400;07.04.2024 17:00;-0,15
1712502000;07.04.2024 18:00;6,75
1712505600;07.04.2024 19:00;27,72
1712509200;07.04.2024 20:00;29,87
1712512800;07.04.2024 21:00;25,71
1712516400;07.04.2024 22:00;23,62
1712520000;07.04.2024 23:00;4,96
1712523600;08.04.2024 00:00;1,22
1712527200;08.04.2024 01:00;2,87
1712530800;08.04.2024 02:00;2,48
1712534400;08.04.2024 03:00;4,11
1712538000;08.04.2024 04:00;40,01
1712541600;08.04.2024 05:00;24,42
1712545200;08.04.2024 06:00;76,07
1712548800;08.04.2024 07:00;100,2
1712552400;08.04.2024 08:00;117,45
1712556000;08.04.2024 09:00;115,07
1712559600;08.04.2024 10:00;78,05
1712563200;08.04.2024 11:00;47,64
1712566800;08.04.2024 12:00;39,99
1712570400;08.04.2024 13:00;38,97
1712574000;08.04.2024 14:00;35,61
1712577600;08.04.2024 15:00;37,39
1712581200;08.04.2024 16:00;43,11
1712584800;08.04.2024 17:00;60,84
1712588400;08.04.2024 18:00;74,32
1712592000;08.04.2024 19:00;112,07
1712595600;08.04.2024 20:00;136,31
1712599200;08.04.2024 21:00;125,18
1712602800;08.04.2024 22:00;96,14
1712606400;08.04.2024 23:00;75,23
1712610000;09.04.2024 00:00;68,5
1712613600;09.04.2024 01:00;41,81
1712617200;09.04.2024 02:00;43
1712620800;09.04.2024 03:00;43,84
1712624400;09.04.2024 04:00;45,65
1712628000;09.04.2024 05:00;49,36
1712631600;09.04.2024 06:00;70,06
1712635200;09.04.2024 07:00;88,23
1712638800;09.04.2024 08:00;92,42
