Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1720281600;06.07.2024 19:00;1,94
1720285200;06.07.2024 20:00;102,85
1720288800;06.07.2024 21:00;92,55
1720292400;06.07.2024 22:00;52,7
1720296000;06.07.2024 23:00;17,57
1720299600;07.07.2024 00:00;6,77
1720303200;07.07.2024 01:00;-0,02
1720306800;07.07.2024 02:00;-0,1
1720310400;07.07.2024 03:00;-0,8
1720314000;07.07.2024 04:00;-0,48
1720317600;07.07.2024 05:00;-0,88
1720321200;07.07.2024 06:00;-1,76
1720324800;07.07.2024 07:00;-0,81
1720328400;07.07.2024 08:00;-0,59
1720332000;07.07.2024 09:00;-0,61
1720335600;07.07.2024 10:00;0
1720339200;07.07.2024 11:00;0
1720342800;07.07.2024 12:00;0
1720346400;07.07.2024 13:00;-0,01
1720350000;07.07.2024 14:00;-2
1720353600;07.07.2024 15:00;-2,01
1720357200;07.07.2024 16:00;-0,01
1720360800;07.07.2024 17:00;0
1720364400;07.07.2024 18:00;120,53
1720368000;07.07.2024 19:00;131,05
1720371600;07.07.2024 20:00;155,05
1720375200;07.07.2024 21:00;159,88
1720378800;07.07.2024 22:00;159,3
1720382400;07.07.2024 23:00;122,7
1720386000;08.07.2024 00:00;106
1720389600;08.07.2024 01:00;86,59
1720393200;08.07.2024 02:00;80,83
1720396800;08.07.2024 03:00;77,55
1720400400;08.07.2024 04:00;78,13
1720404000;08.07.2024 05:00;77,97
1720407600;08.07.2024 06:00;81,5
1720411200;08.07.2024 07:00;124,29
1720414800;08.07.2024 08:00;129,78
1720418400;08.07.2024 09:00;114,31
1720422000;08.07.2024 10:00;90,94
1720425600;08.07.2024 11:00;68,49
1720429200;08.07.2024 12:00;81,09
1720432800;08.07.2024 13:00;81,21
1720436400;08.07.2024 14:00;82,71
1720440000;08.07.2024 15:00;89,67
1720443600;08.07.2024 16:00;180
1720447200;08.07.2024 17:00;98,74
1720450800;08.07.2024 18:00;105,24
1720454400;08.07.2024 19:00;165,77
1720458000;08.07.2024 20:00;229,78
1720461600;08.07.2024 21:00;328,89
1720465200;08.07.2024 22:00;261,46
1720468800;08.07.2024 23:00;175,24
1720472400;09.07.2024 00:00;119,06
1720476000;09.07.2024 01:00;180,6
1720479600;09.07.2024 02:00;120,84
1720483200;09.07.2024 03:00;95,22
1720486800;09.07.2024 04:00;92,68
1720490400;09.07.2024 05:00;88,22
1720494000;09.07.2024 06:00;120,85
1720497600;09.07.2024 07:00;135,06
1720501200;09.07.2024 08:00;135,05
1720504800;09.07.2024 09:00;93,96
1720508400;09.07.2024 10:00;66,94
1720512000;09.07.2024 11:00;46,63
1720515600;09.07.2024 12:00;33,71
1720519200;09.07.2024 13:00;28,83
1720522800;09.07.2024 14:00;25,27
1720526400;09.07.2024 15:00;26,68
1720530000;09.07.2024 16:00;45,57
1720533600;09.07.2024 17:00;73,78
1720537200;09.07.2024 18:00;105,29
1720540800;09.07.2024 19:00;143,61
1720544400;09.07.2024 20:00;226,67
1720548000;09.07.2024 21:00;237,78
1720551600;09.07.2024 22:00;163,57
1720555200;09.07.2024 23:00;135,08
1720558800;10.07.2024 00:00;83,18
1720562400;10.07.2024 01:00;57,39
1720566000;10.07.2024 02:00;60,06
1720569600;10.07.2024 03:00;64,35
1720573200;10.07.2024 04:00;57,68
1720576800;10.07.2024 05:00;59,98
1720580400;10.07.2024 06:00;116,02
1720584000;10.07.2024 07:00;112,1
1720587600;10.07.2024 08:00;112,08
1720591200;10.07.2024 09:00;102,01
1720594800;10.07.2024 10:00;84,93
1720598400;10.07.2024 11:00;65
1720602000;10.07.2024 12:00;54,98
1720605600;10.07.2024 13:00;37,58
1720609200;10.07.2024 14:00;33,85
1720612800;10.07.2024 15:00;45,2
1720616400;10.07.2024 16:00;69,43
1720620000;10.07.2024 17:00;75,47
1720623600;10.07.2024 18:00;111,55
1720627200;10.07.2024 19:00;157,27
1720630800;10.07.2024 20:00;242,76
1720634400;10.07.2024 21:00;275
1720638000;10.07.2024 22:00;245,02
1720641600;10.07.2024 23:00;150,03
1720645200;11.07.2024 00:00;135,53
1720648800;11.07.2024 01:00;109,57
1720652400;11.07.2024 02:00;89,33
1720656000;11.07.2024 03:00;84,52
1720659600;11.07.2024 04:00;88,63
1720663200;11.07.2024 05:00;86,77
1720666800;11.07.2024 06:00;87,29
