Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1704560400;06.01.2024 19:00;200
1704564000;06.01.2024 20:00;179,78
1704567600;06.01.2024 21:00;164,51
1704571200;06.01.2024 22:00;176,17
1704574800;06.01.2024 23:00;159,15
1704578400;07.01.2024 00:00;120,76
1704582000;07.01.2024 01:00;169,5
1704585600;07.01.2024 02:00;128,69
1704589200;07.01.2024 03:00;104
1704592800;07.01.2024 04:00;93,2
1704596400;07.01.2024 05:00;93,19
1704600000;07.01.2024 06:00;93,19
1704603600;07.01.2024 07:00;84,99
1704607200;07.01.2024 08:00;96,89
1704610800;07.01.2024 09:00;93,2
1704614400;07.01.2024 10:00;118,35
1704618000;07.01.2024 11:00;97,53
1704621600;07.01.2024 12:00;93,19
1704625200;07.01.2024 13:00;91,5
1704628800;07.01.2024 14:00;87,52
1704632400;07.01.2024 15:00;87,23
1704636000;07.01.2024 16:00;93,2
1704639600;07.01.2024 17:00;96,21
1704643200;07.01.2024 18:00;104,27
1704646800;07.01.2024 19:00;106,09
1704650400;07.01.2024 20:00;103,56
1704654000;07.01.2024 21:00;100,5
1704657600;07.01.2024 22:00;93,31
1704661200;07.01.2024 23:00;91,17
1704664800;08.01.2024 00:00;83,86
1704668400;08.01.2024 01:00;87,02
1704672000;08.01.2024 02:00;84,32
1704675600;08.01.2024 03:00;81,82
1704679200;08.01.2024 04:00;79,11
1704682800;08.01.2024 05:00;78,48
1704686400;08.01.2024 06:00;82,1
1704690000;08.01.2024 07:00;94,3
1704693600;08.01.2024 08:00;111,22
1704697200;08.01.2024 09:00;121,11
1704700800;08.01.2024 10:00;120,73
1704704400;08.01.2024 11:00;113,9
1704708000;08.01.2024 12:00;139,05
1704711600;08.01.2024 13:00;161,05
1704715200;08.01.2024 14:00;137,91
1704718800;08.01.2024 15:00;167,2
1704722400;08.01.2024 16:00;162,52
1704726000;08.01.2024 17:00;129,93
1704729600;08.01.2024 18:00;132,31
1704733200;08.01.2024 19:00;130,01
1704736800;08.01.2024 20:00;122,12
1704740400;08.01.2024 21:00;114,21
1704744000;08.01.2024 22:00;102,83
1704747600;08.01.2024 23:00;99,98
1704751200;09.01.2024 00:00;91,49
1704754800;09.01.2024 01:00;87,82
1704758400;09.01.2024 02:00;86,69
1704762000;09.01.2024 03:00;85
1704765600;09.01.2024 04:00;84,13
1704769200;09.01.2024 05:00;85,41
1704772800;09.01.2024 06:00;90,12
1704776400;09.01.2024 07:00;108,51
1704780000;09.01.2024 08:00;123,22
1704783600;09.01.2024 09:00;133,25
1704787200;09.01.2024 10:00;120,89
1704790800;09.01.2024 11:00;112,78
1704794400;09.01.2024 12:00;105,4
1704798000;09.01.2024 13:00;100
1704801600;09.01.2024 14:00;100,6
1704805200;09.01.2024 15:00;112,36
1704808800;09.01.2024 16:00;121,09
1704812400;09.01.2024 17:00;130,99
1704816000;09.01.2024 18:00;137,95
1704819600;09.01.2024 19:00;137,72
1704823200;09.01.2024 20:00;130,33
1704826800;09.01.2024 21:00;117,36
1704830400;09.01.2024 22:00;109
1704834000;09.01.2024 23:00;103,63
1704837600;10.01.2024 00:00;94,76
1704841200;10.01.2024 01:00;87,15
1704844800;10.01.2024 02:00;84,67
1704848400;10.01.2024 03:00;84,64
1704852000;10.01.2024 04:00;84,02
1704855600;10.01.2024 05:00;84,23
1704859200;10.01.2024 06:00;89,05
1704862800;10.01.2024 07:00;114,84
1704866400;10.01.2024 08:00;134,87
1704870000;10.01.2024 09:00;143
1704873600;10.01.2024 10:00;130,39
1704877200;10.01.2024 11:00;121,47
1704880800;10.01.2024 12:00;109,13
1704884400;10.01.2024 13:00;102,21
1704888000;10.01.2024 14:00;113,34
1704891600;10.01.2024 15:00;122,03
1704895200;10.01.2024 16:00;130,06
1704898800;10.01.2024 17:00;134,64
1704902400;10.01.2024 18:00;143,79
1704906000;10.01.2024 19:00;136,64
1704909600;10.01.2024 20:00;128,98
1704913200;10.01.2024 21:00;117,12
1704916800;10.01.2024 22:00;107,12
1704920400;10.01.2024 23:00;83,1
1704924000;11.01.2024 00:00;30,07
1704927600;11.01.2024 01:00;83,1
1704931200;11.01.2024 02:00;74,1
1704934800;11.01.2024 03:00;24,39
1704938400;11.01.2024 04:00;40
1704942000;11.01.2024 05:00;68,47
1704945600;11.01.2024 06:00;34,36
1704949200;11.01.2024 07:00;99,62
1704952800;11.01.2024 08:00;114,06
1704956400;11.01.2024 09:00;137,62
1704960000;11.01.2024 10:00;126,06
1704963600;11.01.2024 11:00;110,92
1704967200;11.01.2024 12:00;103,92
1704970800;11.01.2024 13:00;97
1704974400;11.01.2024 14:00;99
1704978000;11.01.2024 15:00;105,98
1704981600;11.01.2024 16:00;124,1
1704985200;11.01.2024 17:00;141,86
1704988800;11.01.2024 18:00;155
1704992400;11.01.2024 19:00;200
1704996000;11.01.2024 20:00;145,44
